anidbid,mal_id,thetvdb_id
2644,464,81797
2645,780,72454
2646,781,72454
2647,1363,72454
2650,614,123611
2651,1379,79179
2654,2151,90821
2656,1292,79755
2659,477,79839
2661,1652,85230
2662,1651,85230
2663,1955,248353
2664,2109,72172
2672,1373,81094
2673,398,72025
2679,487,78856
2684,3023,258052
2687,1851,166871
2690,1577,80054
2691,2648,252696
2692,2651,252696
2694,600,182691
2695,345,83303
2696,198,78972
2700,609,79798
2701,,81115
2702,9883,314449
2703,3361,127151
2704,2052,397207
2706,2579,80357
2707,3761,74972
2710,73,78914
2711,2536,120041
2714,1105,139371
2717,2393,252696
2724,184,79115
2725,1899,83245
2728,2487,250590
2729,3125,85308
2731,2289,72845
2733,177,76023
2735,3734,179311
2736,466,81797
2737,2815,82737
2738,2612,131361
2739,3810,251299
2742,141,80819
2743,325,78883
2744,2572,85318
2745,342,78884
2761,1894,76894
2762,3036,173601
2763,1505,72454
2764,1930,84334
2765,1929,84334
2766,482,76113
2768,2008,143471
2773,2475,354231
2775,1514,81477
2776,911,83421
2781,349,136431
2784,448,78974
2786,2228,134961
2787,488,81007
2788,1053,395530
2798,1981,87031
2806,928,79081
2807,2308,80056
2808,406,156221
2810,27,78967
2811,3071,85230
2812,3964,71585
2813,3963,71585
2814,711,85230
2815,149,79031
2816,4050,330899
2820,357,79549
2822,364,173111
2823,3877,268775
2824,485,79593
2825,4667,75939
2826,237,79360
2827,1196,83807
2828,754,167781
2829,505,259589
2830,478,79886
2831,668,97091
2832,291,84187
2833,2523,101151
2835,16,79044
2836,750,106511
2837,308,79592
2838,3724,150771
2839,411,79135
2840,309,189011
2841,,167921
2843,667,80984
2844,79,82213
2848,1526,76703
2850,1010,76932
