anidbid,mal_id,thetvdb_id
753,883,76665
755,92,71584
757,1550,82380
759,2725,80009
760,2060,138691
761,1975,234921
762,896,81472
763,897,81472
764,1549,85146
765,1302,100171
766,4439,137121
769,1752,73501
770,2733,393352
771,1380,76664
772,876,75534
773,1797,85070
775,1325,252176
777,1095,80789
778,324,393352
779,1350,112531
781,301,82873
782,838,79061
783,824,112651
784,258,83347
785,2825,83566
786,1151,81965
787,1019,81780
788,666,83950
789,665,83950
801,1189,132461
803,1427,71863
805,2207,252176
806,691,143471
807,971,79252
808,2074,263245
809,347,79227
810,1436,71863
813,2500,209801
815,1417,71863
816,1676,299019
817,2016,120151
818,723,79884
821,1418,71863
822,294,79161
823,1435,71863
824,751,74718
826,1254,72775
828,599,144961
830,1450,90481
831,2731,261758
834,133,80608
835,261,74544
836,610,75077
837,62,84187
840,2465,265301
841,1844,91081
842,2037,74933
843,1021,120331
845,2617,253748
847,2486,85067
848,1185,72796
849,,349691
850,1608,79471
852,1567,167111
853,623,84026
854,103,72878
857,3398,150631
858,3154,73887
863,5832,115121
864,3009,115121
867,1365,72454
868,744,79453
869,367,72878
871,2483,262392
872,8363,79654
878,1351,81062
880,551,79237
881,938,109001
882,4200,72442
884,399,72025
887,788,79711
888,350,82378
889,1837,79193
890,468,73749
891,1533,71459
892,1957,71459
893,460,81797
894,209,82319
895,329,75796
896,147,79108
897,1152,81965
899,929,79465
902,171,199181
903,450,71361
904,,73988
905,901,81472
906,904,81472
908,91,79327
911,810,80076
913,1183,154471
915,96,80398
916,95,71585
917,1175,82379
918,2522,263041
919,498,345629
920,3271,293984
921,1120,76703
922,626,75002
923,2493,83105
925,2231,258267
928,1647,140551
930,1683,257562
931,2011,80054
936,2059,273225
939,808,72445
942,1470,72877
943,970,168421
944,2511,251582
945,286,70978
946,1244,201091
947,4060,111131
949,978,112501
950,2253,83609
951,3898,83609
952,4406,83609
953,1064,82387
954,2734,82387
955,3579,112641
956,5658,83601
957,890,93721
958,176,81115
959,72,78914
960,839,313879
962,1985,79760
963,1108,81785
964,2321,91481
965,3676,223491
966,4211,385008
967,3399,251752
968,9385,251752
970,5250,331727
971,1300,120191
975,3599,166821
976,1439,71863
977,1432,71863
979,121,75579
980,598,72629
981,1768,72629
982,264,79685
983,1357,79156
984,1356,79156
986,1438,71863
987,1420,71863
989,1433,71863
990,528,76703
991,1119,76703
992,1118,76703
993,2013,80054
994,1440,337778
996,1089,73038
997,2183,267054
998,222,79446
1000,1490,82883
1001,279,74957
1002,134,78812
1003,267,78963
1005,1832,112961
1006,1279,78783
1007,8234,320364
1008,8235,342507
1009,2150,85199
1010,5712,85199
1015,169,74522
1016,2331,72219
1018,1153,84915
1020,1117,76703
1024,1415,71863
1025,,79835
1028,1999,84527
1029,1617,208741
1031,3605,342632
1032,1796,72442
1033,1459,81723
